type,country,name,id,lat,lon,elev,mft,ref,freq,unit,chan,decl,north,range,kmm
VOR-DME,UY,CARRASCO,CRR,-34.832777777778,-56.025,105,M,MSL,116.900,MHZ,116X,-11.362273754524528,FALSE,none,none
VOR,MZ,MAPUTO,VMA,-25.868888888889,32.605,35,M,MSL,112.700,MHZ,none,-20.772835552830355,FALSE,none,none
VORTAC,KR,ANYANG,SEL,37.413611111111,126.92833333333,263,M,MSL,115.500,MHZ,102X,-8.751282940322342,FALSE,none,none
VORTAC,KR,BUSAN,PSN,35.122777777778,128.99944444444,529,M,MSL,114.000,MHZ,87X,-8.216194503639528,FALSE,none,none
VORTAC,KR,DALSEONG,TGU,35.809722222222,128.59083333333,629,M,MSL,112.200,MHZ,59X,-8.401178984927565,FALSE,none,none
VORTAC,KR,GANGWON,KAE,37.700833333333,128.75388888889,1022,M,MSL,115.600,MHZ,103X,-8.977093008514267,FALSE,none,none
VORTAC,KR,GUNSAN,KUZ,35.910277777778,126.61138888889,4,M,MSL,112.800,MHZ,75X,-8.281510132533247,FALSE,none,none
VOR-DME,KR,GWANGJU,KWA,35.126111111111,126.81222222222,14,M,MSL,114.400,MHZ,91X,-8.071988072024375,FALSE,none,none
VORTAC,KR,JEJU,CJU,33.384722222222,126.62416666667,809,M,MSL,116.100,MHZ,108X,-7.553120388041537,FALSE,none,none
VORTAC,KR,POHANG,KPO,35.977222222222,129.47444444444,230,M,MSL,112.500,MHZ,72X,-8.492815113344825,FALSE,none,none
VORTAC,KR,SONGTAN,SOT,37.094444444444,127.03166666667,11,M,MSL,116.900,MHZ,116X,-8.667104206783169,FALSE,none,none
VOR-DME,KR,YECHEON,CUN,36.631944444444,128.32527777778,111,M,MSL,114.800,MHZ,95X,-8.630738960581425,FALSE,none,none
VOR-DME,KR,YANGJU,YJU,37.74805555555555,126.99111111111111,418,M,MSL,114.900,MHZ,96X,-9.08,FALSE,none,none
DVOR,FK,MOUNT PLEASANT,MTP,-51.826388888889,-58.423888888889,57,M,MSL,114.700,MHZ,none,3.0130163766357954,FALSE,none,none
VOR-DME,NZ,AUCKLAND,AA,-37.004722222222,174.81361111111,15,M,MSL,114.800,MHZ,95X,20.110607738729602,FALSE,25,NM
VOR-DME,NZ,CHRISTCHURCH,CH,-43.504166666667,172.51472222222,41,M,MSL,115.300,MHZ,100X,24.24129189510122,FALSE,none,none
VOR-DME,NZ,GISBORNE,GS,-38.660555555556,177.9775,8,M,MSL,114.200,MHZ,89X,21.49356151694655,FALSE,none,none
VOR-DME,NZ,HAMILTON,HN,-37.849166666667,175.33861111111,53,M,MSL,114.000,MHZ,87X,20.68563524542184,FALSE,none,none
DME,NZ,HOKITIKA,HK,-42.729444444444,170.95611111111,4,M,MSL,117.500,MHZ,122X,23.371694342791972,FALSE,100,NM
VOR-DME,NZ,INVERCARGILL,NV,-46.411666666667,168.31777777778,1,M,MSL,116.800,MHZ,115X,25.983419202925795,TRUE,none,none
DME,NZ,KAITAIA,KT,-35.028611111111,173.2425,4,M,MSL,115.800,MHZ,105X,18.783947987186057,FALSE,100,NM
DME,NZ,MOUNT MARY,RY,-44.135555555556,170.28055555556,979,M,MSL,112.500,MHZ,72X,24.368764370027293,FALSE,none,none
VOR-DME,NZ,NAPIER,NR,-39.453888888889,176.86888888889,4,M,MSL,113.800,MHZ,85X,21.88946754775185,FALSE,none,none
VOR-DME,NZ,NELSON,NS,-41.303611111111,173.21638888889,1,M,MSL,113.100,MHZ,78X,22.68378032472924,FALSE,none,none
VOR-DME,NZ,NEW PLYMOUTH,NP,-39.007222222222,174.18388888889,29,M,MSL,114.400,MHZ,91X,21.262454318350727,FALSE,none,none
VOR-DME,NZ,OHAKEA,OH,-40.209722222222,175.39194444444,45,M,MSL,117.100,MHZ,118X,22.219928764448294,FALSE,none,none
DME,NZ,PARAPARAUMU,PP,-40.903055555556,174.98194444444,5,M,MSL,117.300,MHZ,120X,22.64758848716413,FALSE,none,none
VOR-DME,NZ,QUEENSTOWN,QN,-44.984166666667,168.7825,1394,M,MSL,113.600,MHZ,83X,24.791785027797545,FALSE,25,NM
VOR-DME,NZ,SWAMPY,SW,-45.794444444444,170.47722222222,738,M,MSL,112.700,MHZ,74X,25.842952889473484,TRUE,none,none
DME,NZ,TAURANGA,TG,-37.6775,176.19111111111,8,M,MSL,113.200,MHZ,79X,20.683683072715215,FALSE,none,none
DME,NZ,TORY,TR,-41.185833333333,174.3625,555,M,MSL,114.600,MHZ,93X,22.76460633507957,FALSE,none,none
VOR-DME,NZ,WELLINGTON,WN,-41.337222222222,174.81694444444,114,M,MSL,112.300,MHZ,70X,22.934702229753498,FALSE,none,none
DME,NZ,WESTPORT,WS,-41.7425,171.58,2,M,MSL,116.900,MHZ,116X,22.74057587996446,FALSE,none,none
DME,NZ,WHANGANUI,WU,-39.959444444444,175.02638888889,26,M,MSL,116.000,MHZ,107X,22.003139075048722,FALSE,50,NM
DME,NZ,WHANGAREI,WR,-35.771944444444,174.36194444444,39,M,MSL,117.300,MHZ,120X,19.343430745837193,FALSE,50,NM
VOR-DME,NZ,WHENUAPAI,WP,-36.786666666667,174.63111111111,27,M,MSL,116.400,MHZ,111X,19.95885633689918,FALSE,none,none
VOR-DME,NZ,WOODBOURNE,WB,-41.519722222222,173.86277777778,34,M,MSL,115.600,MHZ,103X,22.93440480994618,FALSE,none,none
VOR-DME,ME,PODGORICA,POD,42.386111111111,19.254444444444,39,M,MSL,113.000,MHZ,77X,4.7863111386722155,FALSE,50,NM
DME,ME,TIVAT,TIV,42.396111111111,18.741388888889,11,M,MSL,111.300,MHZ,50X,4.708020988105966,FALSE,none,none
DVOR-DME,IE,BALDONNEL,BAL,53.29988888888889,-6.447777777777778,86,M,MSL,115.800,MHZ,105X,-1.829,FALSE,60,NM
DVOR-DME,IE,CORK,CRK,51.840555555556,-8.4941666666667,121,M,MSL,114.600,MHZ,none,-2.711602311242819,FALSE,80,NM
DVOR-DME,IE,COLLINSTOWN,DAP,53.423611111111,-6.3027777777778,78,M,MSL,111.200,MHZ,49X,-2.1226228985195936,FALSE,150,NM
DVOR-DME,IE,DUBLIN,DUB,53.49938888888889,-6.307111111111111,39,M,MSL,114.900,MHZ,96X,-1.805,FALSE,none,none
DVOR-DME,IE,WESTON,WST,53.352777777778,-6.4938888888889,46,M,MSL,114.700,MHZ,94X,-2.1859389791378465,FALSE,30,NM
DME,IE,GORMANSTON,GMN,53.64680555555555,-6.234916666666667,14,M,MSL,112.900,MHZ,76X,-1.801,FALSE,30,NM
DVOR-DME,IE,SHANNON,SHA,52.721,-8.885222222222222,32,M,MSL,113.300,MHZ,80X,-2.689,FALSE,300,NM
DME,IE,SLIGO,SLG,54.27938888888889,-8.600111111111111,6,M,MSL,109.000,MHZ,27X,-2.86,FALSE,20,NM
DVOR-DME,IE,CONNAUGHT,CON,53.908027777777775,-8.82011111111111,178,M,MSL,117.400,MHZ,121X,-2.88,FALSE,none,none
DME,IE,GLENTEIGE,GTG,52.85308333333333,-6.145527777777778,258,M,MSL,114.150,MHZ,88Y,-1.64,FALSE,100,NM
DME,IE,MOHERCROM,MCM,53.910333333333334,-6.901277777777778,306,M,MSL,114.400,MHZ,91X,-2.107,FALSE,100,NM
DME,IE,WOLFTRAP,WTP,53.09588888888889,-7.591277777777778,473,M,MSL,116.300,MHZ,110X,-2.242,FALSE,100,NM
VOR-DME,BA,BANJA LUKA,LAK,44.941666666667,17.295833333333,112,M,MSL,115.300,MHZ,100X,4.724407475840684,FALSE,40,NM
VOR-DME,BA,DERVENTA,DER,44.984166666667,17.969444444444,130,M,MSL,112.400,MHZ,71X,4.849061822543976,FALSE,none,none
DVOR-DME,BA,MOSTAR,MSR,43.261388888889,17.855833333333,44,M,MSL,116.900,MHZ,116X,4.653460614008547,FALSE,70,NM
VOR-DME,BA,OMARSKA,OMA,44.958055555556,16.804444444444,159,M,MSL,117.900,MHZ,126X,4.637266348979514,FALSE,80,NM
VOR-DME,BA,SARAJEVO,KIS,44.018333333333,18.063055555556,761,M,MSL,116.000,MHZ,107X,4.76452171017722,FALSE,none,none
DVOR-DME,BA,SARAJEVO,KEB,43.933888888889,18.449722222222,1522,M,MSL,116.700,MHZ,114X,4.82083189662582,FALSE,none,none
VOR,BA,TUZLA,TZU,44.456666666667,18.735555555556,233,M,MSL,108.800,MHZ,none,4.92545027735336,FALSE,none,none
VOR-DME,US,ABERDEEN,ABR,45.41722222222222,-98.36861111111111,400,M,MSL,113.000,MHZ,77X,3.985,FALSE,none,none
VORTAC,US,ABILENE,ABI,32.4813306,-99.8634536,550,M,MSL,113.700,MHZ,84X,4.658,FALSE,none,none
VORTAC,US,ADDERS,AXC,39.7375214,-88.8564314,220,M,MSL,117.200,MHZ,119X,-2.863,FALSE,none,none
VOR-DME,US,AINSWORTH,ANW,42.5691139,-99.9896611,790,M,MSL,112.700,MHZ,74X,5.086,FALSE,none,none
VOR-DME,US,AKRON,AKO,40.155555,-103.1797147,1400,M,MSL,114.400,MHZ,91X,6.921,FALSE,none,none
VOR-DME,US,AKRON,ACO,41.1079031,-81.2015189,370,M,MSL,114.400,MHZ,91X,-8.58,FALSE,none,none
VORTAC,US,ALAMOSA,ALS,37.3491589,-105.8155328,2300,M,MSL,113.900,MHZ,86X,8.04,FALSE,none,none
VORTAC,US,ALBANY,ALB,42.7472775,-73.8031861,83,M,MSL,115.300,MHZ,100X,-13.204,FALSE,none,none
VORTAC,US,ALBUQUERQUE,ABQ,35.0437956,-106.8163119,1800,M,MSL,113.200,MHZ,79X,8.243,FALSE,none,none
VORTAC,US,ALEXANDRIA,AEX,31.2567317,-92.5009725,23,M,MSL,116.100,MHZ,108X,0.281,FALSE,none,none
VOR-DME,US,ALEXANDRIA,AXN,45.9583883,-95.2326347,420,M,MSL,112.800,MHZ,75X,1.557,FALSE,none,none
VOR,US,ALICE,ALI,27.7397994,-98.0213428,51,M,MSL,114.500,MHZ,none,3.591,FALSE,none,none
VOR,US,ALLENDALE,ALD,33.0124942,-81.2922322,57,M,MSL,116.700,MHZ,none,-7.277,FALSE,none,none
VOR-DME,US,ALLIANCE,AIA,42.0556308,-102.8044436,1200,M,MSL,111.800,MHZ,55X,6.838,FALSE,none,none
VORTAC,US,ALPENA,APN,45.0827786,-83.5570036,210,M,MSL,108.800,MHZ,25X,-7.688,FALSE,none,none
VOR-DME,US,AMEDEE,AHC,40.2678628,-120.1519656,1200,M,MSL,109.000,MHZ,27X,13.358,FALSE,none,none
VORTAC,US,ANDREWS,ADW,38.8072194,-76.8662556,80,M,MSL,113.100,MHZ,78X,-10.828,FALSE,none,none
VOR-DME,US,ANNETTE ISLAND,ANN,55.0604086,-131.5783994,32,M,MSL,117.100,MHZ,118X,18.041,FALSE,none,none
VORTAC,US,ANTON CHICO,ACH,35.1117061,-105.0399289,1700,M,MSL,117.800,MHZ,125X,7.452,FALSE,none,none
VORTAC,US,APPLETON,APE,40.1510628,-82.5883014,410,M,MSL,116.700,MHZ,114X,-7.47,FALSE,none,none
VOR-DME,US,ARCATA,ACV,40.9814428,-124.1083167,60,M,MSL,115.050,MHZ,97Y,14.19,FALSE,none,none
VORTAC,US,ARDMORE,ADM,34.2115861,-97.1682281,290,M,MSL,116.700,MHZ,114X,3.137,FALSE,none,none
VOR-DME,US,ASTORIA,AST,46.1616983,-123.8803767,3,M,MSL,114.000,MHZ,87X,15.347,FALSE,none,none
VOR-DME,US,ATHENS,AHN,33.9475936,-83.3247589,240,M,MSL,109.600,MHZ,33X,-6.085,FALSE,none,none
VORTAC,US,ATLANTIC CITY,ACY,39.4558747,-74.5763147,21,M,MSL,117.150,MHZ,118Y,-12.15,FALSE,none,none
VOR-DME,US,AUGUSTA,AUG,44.3200203,-69.7965644,110,M,MSL,114.950,MHZ,96Y,-15.207,FALSE,none,none
VOR-DME,US,AVENAL,AVE,35.6469756,-119.9786056,210,M,MSL,117.100,MHZ,118X,12.356,FALSE,none,none
VOR-DME,US,BADGER,BAE,43.1168531,-88.2843444,330,M,MSL,116.400,MHZ,111X,-3.702,FALSE,none,none
VOR-DME,US,BAKER CITY,BKE,44.8406,-117.8078708,1000,M,MSL,115.300,MHZ,100X,13.773,FALSE,none,none
VORTAC,US,BALTIMORE,BAL,39.1710633,-76.6612564,46,M,MSL,115.100,MHZ,98X,-11.007,FALSE,none,none
VORTAC,US,BANGOR,BGR,44.841795,-68.8739653,110,M,MSL,114.800,MHZ,95X,-15.638,FALSE,none,none
VORTAC,US,BARD,BZA,32.7681075,-114.6029464,41,M,MSL,116.800,MHZ,115X,10.584,FALSE,none,none
VORTAC,US,BARNES,BAF,42.1619592,-72.7161994,80,M,MSL,113.000,MHZ,77X,-13.566,FALSE,none,none
VOR-DME,US,BARRETTS MOUNTAIN,BZM,35.8688539,-81.2405289,570,M,MSL,113.750,MHZ,84Y,-7.709,FALSE,none,none
VOR-DME,US,BARTLESVILLE,BVO,36.8343347,-96.0184311,290,M,MSL,117.900,MHZ,126X,2.4,FALSE,none,none
VORTAC,US,BATTLE GROUND,BTG,45.7478111,-122.5915367,75,M,MSL,116.600,MHZ,113X,15.041,FALSE,none,none
VORTAC,US,BATTLE MOUNTAIN,BAM,40.5690806,-116.9222564,1400,M,MSL,112.200,MHZ,59X,12.659,FALSE,none,none
VORTAC,US,BEATTY,BTY,36.8005969,-116.7476408,890,M,MSL,114.700,MHZ,94X,11.878,FALSE,none,none
VOR-DME,US,BELLAIRE,AIR,40.0170242,-80.8172289,400,M,MSL,117.100,MHZ,118X,-8.641,FALSE,none,none
VORTAC,US,BIBLE GROVE,BIB,38.9203453,-88.4818047,160,M,MSL,109.000,MHZ,27X,-3.055,FALSE,none,none
VORTAC,US,BIG SPRING,BGS,32.3855883,-101.4836828,810,M,MSL,117.200,MHZ,119X,5.507,FALSE,none,none
VORTAC,US,BIGBEE,IGB,33.4854872,-88.51359,76,M,MSL,116.200,MHZ,109X,-2.52,FALSE,none,none
VORTAC,US,BILLINGS,BIL,45.8085592,-108.6246475,1200,M,MSL,114.500,MHZ,92X,10.433,FALSE,none,none
VOR-DME,US,BINGHAMTON,CFB,42.1574903,-76.1364717,480,M,MSL,112.200,MHZ,59X,-11.886,FALSE,none,none
VOR-DME,US,BISHOP,BIH,37.37695,-118.3665264,1300,M,MSL,109.600,MHZ,33X,12.376,FALSE,none,none
VOR-DME,US,BISMARCK,BIS,46.7617611,-100.6654072,560,M,MSL,116.500,MHZ,112X,5.666,FALSE,none,none
VOR-DME,US,BLACK FOREST,BRK,38.94451,-104.6334664,2100,M,MSL,112.500,MHZ,72X,7.608,FALSE,none,none
VOR-DME,US,BLUE MESA,HBU,38.4521164,-107.0397142,2700,M,MSL,114.900,MHZ,96X,8.734,FALSE,none,none
VOR-DME,US,BLUEFIELD,BLF,37.3064403,-81.1942694,880,M,MSL,110.000,MHZ,37X,-7.953,FALSE,none,none
VORTAC,US,BLYTHE,BLH,33.5960647,-114.7612733,130,M,MSL,117.400,MHZ,121X,10.772,FALSE,none,none
VORTAC,US,BOISE,BOI,43.5528114,-116.1921256,880,M,MSL,113.300,MHZ,80X,13.045,FALSE,none,none
VORTAC,US,BONHAM,BYP,33.5374861,-96.2340944,200,M,MSL,114.600,MHZ,93X,2.564,FALSE,none,none
VORTAC,US,BONNEVILLE,BVL,40.7260975,-113.7574172,1300,M,MSL,112.300,MHZ,70X,11.739,FALSE,none,none
VOR-DME,US,BOSTON,BOS,42.3575,-70.989444444444,18,M,MSL,112.700,MHZ,74X,-14.319298096988872,FALSE,none,none
VORTAC,US,BOULDER CITY,BLD,35.9957903,-114.8635789,1100,M,MSL,116.700,MHZ,114X,11.229,FALSE,none,none
VOR-DME,US,BOYSEN RESERVOIR,BOY,43.4631519,-108.2997122,2300,M,MSL,117.800,MHZ,125X,9.954,FALSE,none,none
VOR-DME,US,BOZEMAN,BZN,45.7838989,-111.155455,1400,M,MSL,112.400,MHZ,71X,11.615,FALSE,none,none
VOR-DME,US,BRAYMER,BQS,39.6305556,-93.8752778,280,M,MSL,115.350,MHZ,100Y,0.847,FALSE,none,none
VORTAC,US,BRICKYARD,VHP,39.8147292,-86.3674997,270,M,MSL,116.300,MHZ,110X,-4.717,FALSE,none,none
VOR-DME,US,BRIGGS,BSV,40.7407064,-81.4321172,370,M,MSL,112.400,MHZ,71X,-8.36,FALSE,none,none
VOR-DME,US,BRIGHAM CITY,LHO,41.7928797,-112.0097775,1600,M,MSL,112.900,MHZ,76X,11.301,FALSE,none,none
VORTAC,US,BROOKE,BRV,38.3362572,-77.352865,44,M,MSL,114.500,MHZ,92X,-10.471,FALSE,none,none
VORTAC,US,BROOKLEY,BFM,30.6127211,-88.0554936,4,M,MSL,112.800,MHZ,75X,-2.569,FALSE,none,none
VORTAC,US,BROOKWOOD,OKW,33.2378639,-87.2498653,200,M,MSL,111.000,MHZ,47X,-3.359,FALSE,none,none
VOR-DME,US,BROWNWOOD,BWD,31.8925825,-98.9574603,480,M,MSL,108.600,MHZ,23X,4.144,FALSE,none,none
VORTAC,US,BRUNSWICK,SSI,31.0505142,-81.4459625,3,M,MSL,109.800,MHZ,35X,-6.919,FALSE,none,none
VORTAC,US,BRYCE CANYON,BCE,37.6891875,-112.3038961,2800,M,MSL,112.800,MHZ,75X,10.729,FALSE,none,none
VORTAC,US,BUCKEYE,BXK,33.4534561,-112.8245917,330,M,MSL,110.600,MHZ,43X,10.201,FALSE,none,none
VOR-DME,US,BULLION,BQU,40.7596772,-115.7613767,2000,M,MSL,114.500,MHZ,92X,12.371,FALSE,none,none
VOR-DME,US,BURLEY,BYI,42.5802394,-113.8658575,1300,M,MSL,114.100,MHZ,88X,12.11,FALSE,none,none
VOR-DME,US,BURLINGTON,BTV,44.3971047,-73.1826347,130,M,MSL,117.500,MHZ,122X,-13.888,FALSE,none,none
VOR-DME,US,BURLINGTON,BRL,40.7234558,-90.9258897,220,M,MSL,111.400,MHZ,51X,-1.404,FALSE,none,none
VORTAC,US,BURNS FLAT,BFV,35.2369444,-99.2061667,540,M,MSL,110.000,MHZ,37X,4.373,FALSE,none,none
VORTAC,US,BUTLER,BUM,38.27208,-94.4882611,270,M,MSL,115.900,MHZ,106X,1.333,FALSE,none,none
VOR-DME,US,CALVERTON,CCC,40.9296189,-72.7988583,26,M,MSL,117.200,MHZ,119X,-13.268,FALSE,none,none
VOR-DME,US,CAMARILLO,CMA,34.2125208,-119.094355,19,M,MSL,115.800,MHZ,105X,11.892,FALSE,none,none
VOR-DME,US,CAMBRIDGE,CAM,42.9942889,-73.3440189,460,M,MSL,115.000,MHZ,97X,-13.474,FALSE,none,none
VOR-DME,US,CARBON,PUC,39.6031917,-110.7535278,1800,M,MSL,115.500,MHZ,102X,10.468,FALSE,none,none
VOR-DME,US,CARLETON,CRL,42.0480267,-83.4575731,190,M,MSL,115.700,MHZ,104X,-7.179,FALSE,none,none
VORTAC,US,CARLSBAD,CNM,32.2566133,-104.2260375,990,M,MSL,116.300,MHZ,110X,6.822,FALSE,none,none
VOR-DME,US,CEDAR LAKE,VCN,39.5376711,-74.9671439,35,M,MSL,115.200,MHZ,99X,-11.971,FALSE,none,none
VOR-DME,US,CEDAR RAPIDS,CID,41.887545,-91.7857478,270,M,MSL,114.100,MHZ,88X,-0.848,FALSE,none,none
VORTAC,US,CENTER POINT,CSI,29.92235,-99.2144,630,M,MSL,117.500,MHZ,122X,4.249545097690889,FALSE,none,none
VORTAC,US,CENTEX,CWK,30.378333333333,-97.529722222222,185,M,MSL,112.800,MHZ,75X,3.340020446590642,FALSE,none,none
VORTAC,US,CENTRALIA,ENL,38.4199986,-89.1589978,170,M,MSL,115.000,MHZ,97X,-2.509,FALSE,none,none
VORTAC,US,CHAMPAIGN,CMI,40.0345314,-88.2760756,230,M,MSL,110.000,MHZ,37X,-3.328,FALSE,none,none
VORTAC,US,CHARLESTON,CHS,32.8943192,-80.0378142,13,M,MSL,113.500,MHZ,82X,-8.041,FALSE,none,none
VOR-DME,US,CHARLESTON,HVQ,38.3496761,-81.7699144,330,M,MSL,117.400,MHZ,121X,-7.737,FALSE,none,none
VOR-DME,US,CHEROKEE,CKW,41.7557094,-107.5819822,2100,M,MSL,115.000,MHZ,97X,9.388,FALSE,none,none
VOR-DME,US,CHESTER,CTR,42.2913186,-72.9493942,490,M,MSL,115.100,MHZ,98X,-13.492,FALSE,none,none
VOR-DME,US,CHESTERFIELD,CTF,34.6504981,-80.2749164,180,M,MSL,108.200,MHZ,19X,-8.143,FALSE,none,none
VORTAC,US,CHEYENNE,CYS,41.2109669,-104.772915,1900,M,MSL,113.100,MHZ,78X,7.89,FALSE,none,none
VORTAC,US,CHICAGO HEIGHTS,CGT,41.5100067,-87.5715461,190,M,MSL,114.200,MHZ,89X,-4.038,FALSE,none,none
VORTAC,US,CHILDRESS,CDS,34.369065,-100.2890275,590,M,MSL,117.000,MHZ,117X,4.962,FALSE,none,none
VORTAC,US,CHISUM,CME,33.3374786,-104.6212456,1200,M,MSL,116.100,MHZ,108X,7.095,FALSE,none,none
VORTAC,US,CIMARRON,CIM,36.4913969,-104.8719997,2000,M,MSL,116.400,MHZ,111X,7.501,FALSE,none,none
VOR-DME,US,CLARKSBURG,CKB,39.2532178,-80.2678617,440,M,MSL,112.600,MHZ,73X,-8.865,FALSE,none,none
VOR-DME,US,CLARKSVILLE,CKV,36.6219856,-87.4126533,160,M,MSL,110.600,MHZ,43X,-3.588,FALSE,none,none
VORTAC,US,COALDALE,OAL,38.0032614,-117.7704458,1500,M,MSL,117.700,MHZ,124X,12.363,FALSE,none,none
VOR-DME,US,CODY,COD,44.6204517,-108.9649172,1500,M,MSL,111.800,MHZ,55X,10.433,FALSE,none,none
VORTAC,US,COLLEGE STATION,CLL,30.6050017,-96.4206808,81,M,MSL,113.300,MHZ,80X,2.697,FALSE,none,none
VORTAC,US,COLLIERS,IRQ,33.7073533,-82.1620644,120,M,MSL,113.900,MHZ,86X,-6.815,FALSE,none,none
VORTAC,US,COLUMBIA,CAE,33.85725,-81.0539028,120,M,MSL,114.700,MHZ,94X,-7.543,FALSE,none,none
VOR-DME,US,COLUMBIA,COU,38.8108233,-92.2182739,270,M,MSL,110.200,MHZ,39X,-0.307,FALSE,none,none
VOR-DME,US,COLUMBUS,CUS,31.8191006,-107.5744939,1200,M,MSL,111.200,MHZ,49X,8.182,FALSE,none,none
VOR-DME,US,COLUMBUS,OLU,41.4500317,-97.3408197,440,M,MSL,111.800,MHZ,55X,3.265,FALSE,none,none
VOR-DME,US,CONCORD,CON,43.2197869,-71.5754531,220,M,MSL,112.900,MHZ,76X,-14.283,FALSE,none,none
VOR-DME,US,CONES,ETL,38.0402522,-108.2585744,2600,M,MSL,110.200,MHZ,39X,9.226,FALSE,none,none
VOR-DME,US,COPPERTOWN,CPN,46.032,-112.7475278,1800,M,MSL,111.600,MHZ,53X,12.322,FALSE,none,none
VORTAC,US,CORONA,CNX,34.3670153,-105.6780047,2000,M,MSL,115.500,MHZ,102X,7.671,FALSE,none,none
VORTAC,US,CORPUS CHRISTI,CRP,27.9037658,-97.4448814,18,M,MSL,115.500,MHZ,102X,3.286,FALSE,none,none
VOR-DME,US,CORTEZ,CEZ,37.3898472,-108.5617525,1900,M,MSL,108.400,MHZ,21X,9.269,FALSE,none,none
VOR-DME,US,CORVALLIS,CVO,44.4995653,-123.29366,74,M,MSL,115.400,MHZ,101X,14.869,FALSE,none,none
VORTAC,US,COTULLA,COT,28.46201,-99.1185,158,M,MSL,115.800,MHZ,105X,4.173384200013329,FALSE,none,none
VOR-DME,US,COWBOY,CVE,32.89031,-96.9039,141,M,MSL,116.200,MHZ,109X,2.9823079719662324,FALSE,none,none
VORTAC,US,COYLE,CYN,39.8173381,-74.4316258,62,M,MSL,113.400,MHZ,81X,-12.29,FALSE,none,none
VORTAC,US,CRAIG,CRG,30.3388792,-81.5099272,14,M,MSL,114.500,MHZ,92X,-6.786,FALSE,none,none
VOR-DME,US,CRAZY WOMAN,CZI,43.9997278,-106.4357306,1500,M,MSL,117.300,MHZ,120X,9.071,FALSE,none,none
VORTAC,US,CRESCENT CITY,CEC,41.779444444444,-124.24,16,M,MSL,109.000,MHZ,27X,14.395111127399971,FALSE,none,none
VORTAC,US,CRESCENT CITY,CEC,41.7795789,-124.2408472,18,M,MSL,109.000,MHZ,27X,14.387,FALSE,none,none
VORTAC,US,CRESTVIEW,CEW,30.8261739,-86.6791433,78,M,MSL,115.900,MHZ,106X,-3.499,FALSE,none,none
VOR-DME,US,CUNNINGHAM,CNG,37.0086092,-88.8369128,150,M,MSL,113.100,MHZ,78X,-2.61,FALSE,none,none
VOR-DME,US,CUT BANK,CTB,48.5649486,-112.3432544,1200,M,MSL,113.350,MHZ,80Y,12.617,FALSE,none,none
VORTAC,US,DAGGETT,DAG,34.9624569,-116.5781664,540,M,MSL,113.200,MHZ,79X,11.485,FALSE,none,none
VORTAC,US,DALHART,DHT,36.0914567,-102.5446417,1200,M,MSL,112.000,MHZ,57X,6.283,FALSE,none,none
VORTAC,US,DAVENPORT,CVA,41.7085483,-90.4833136,230,M,MSL,113.800,MHZ,85X,-1.831,FALSE,none,none
VOR-DME,US,DAYTON,DQN,40.0164444,-84.3968981,300,M,MSL,114.500,MHZ,92X,-6.176,FALSE,none,none
VOR-DME,US,DEER PARK,DPK,40.7917497,-73.3036578,35,M,MSL,117.700,MHZ,124X,-13.014,FALSE,none,none
VORTAC,US,DELLS,DLL,43.5508319,-89.7636222,310,M,MSL,117.000,MHZ,117X,-2.593,FALSE,none,none
VORTAC,US,DELTA,DTA,39.3022111,-112.5055558,1400,M,MSL,116.100,MHZ,108X,11.066,FALSE,none,none
VORTAC,US,DEMING,DMN,32.2755514,-107.6055014,1300,M,MSL,108.600,MHZ,23X,8.247,FALSE,none,none
VORTAC,US,DES MOINES,DSM,41.4376247,-93.6485581,290,M,MSL,117.500,MHZ,122X,0.592,FALSE,none,none
VORTAC,US,DESCHUTES,DSD,44.2527608,-121.3035522,1200,M,MSL,117.600,MHZ,123X,14.46,FALSE,none,none
VORTAC,US,DICKINSON,DIK,46.8600389,-102.7734997,770,M,MSL,112.900,MHZ,76X,7.124,FALSE,none,none
VOR-DME,US,DILLON,DLN,45.2485739,-112.5471297,1600,M,MSL,113.000,MHZ,77X,12.102,FALSE,none,none
VORTAC,US,DODGE CITY,DDC,37.8505608,-100.0056372,780,M,MSL,108.200,MHZ,19X,4.935,FALSE,none,none
VORTAC,US,DOGWOOD,DGD,37.0234692,-92.8769228,490,M,MSL,109.400,MHZ,31X,0.258,FALSE,none,none
VORTAC,US,DOLPHIN,DHP,25.7999628,-80.349035,2,M,MSL,113.900,MHZ,86X,-6.9,FALSE,none,none
VOR-DME,US,DONNELLY,DNJ,44.7671125,-116.2062658,2200,M,MSL,116.200,MHZ,109X,13.294,FALSE,none,none
VORTAC,US,DOUGLAS,DUG,31.4726736,-109.6020536,1300,M,MSL,108.800,MHZ,25X,8.873,FALSE,none,none
VORTAC,US,DOVE CREEK,DVC,37.8087397,-108.9312739,2100,M,MSL,114.600,MHZ,93X,9.477,FALSE,none,none
VORTAC,US,DRAKE,DRK,34.7025522,-112.4803417,1500,M,MSL,114.100,MHZ,88X,10.299,FALSE,none,none
VOR-DME,US,DRYER,DJB,41.358065,-82.1619686,240,M,MSL,113.600,MHZ,83X,-7.972,FALSE,none,none
VORTAC,US,DUBLIN,DBN,32.5634603,-82.8300447,94,M,MSL,113.100,MHZ,78X,-6.234,FALSE,none,none
VORTAC,US,DUBOIS,DBS,44.0888533,-112.2093433,1500,M,MSL,116.900,MHZ,116X,11.765,FALSE,none,none
VORTAC,US,DUBUQUE,DBQ,42.4014692,-90.7090781,320,M,MSL,115.800,MHZ,105X,-1.725,FALSE,none,none
